method,stop_threshold,avg_attempts,success_rate
Learned-threshold-sweep,0.3,1,0.62
Learned-threshold-sweep,0.35,1.03,0.64
Learned-threshold-sweep,0.4,1.09,0.67
Learned-threshold-sweep,0.45,1.17,0.71
Learned-threshold-sweep,0.5,1.35,0.75
Learned-threshold-sweep,0.55,1.54,0.75
Learned-threshold-sweep,0.6,1.64,0.75
Learned-threshold-sweep,0.65,1.73,0.75
Learned-threshold-sweep,0.7,1.76,0.75
Learned-threshold-sweep,0.75,1.76,0.75
Learned-threshold-sweep,0.8,1.76,0.75
Learned-threshold-sweep,0.85,1.76,0.75
Learned-threshold-sweep,0.9,1.76,0.75
Fixed-3,,1.76,0.75
